,Crush,White,Raw,Other,Total sugar,Sugar/Crush,Raw/Sugar
12/12/2012,585130.91,10543.74,37791.404,721.05,49056.194,83.8379808,0.77036967
12/13/2012,600542.07,11794.2,38026.213,633,50453.413,84.01312001,0.753689607
12/14/2012,660577.73,13046.3,38453.943,432.35,51932.593,78.61692976,0.740458752
12/15/2012,668554.09,15176.13,40939.751,572,56687.881,84.79176457,0.722195825
12/16/2012,674740.66,15298.86,43816.408,718.25,59833.518,88.67631899,0.732305394
12/17/2012,696019.78,14927.58,44498.642,697.65,60123.872,86.38241861,0.740116039
12/18/2012,740588.16,16532.54,45282.365,566.698,62381.603,84.2325146,0.725892937
12/19/2012,758712.39,18335.92,47611.521,651.98,66599.421,87.77953527,0.714893918
12/20/2012,739664.46,17750.91,47602.856,579.95,65933.716,89.1400352,0.721980481
12/21/2012,752168.48,19044.87,46997.521,606.26,66648.651,88.60867315,0.705153372
12/22/2012,791799.57,18872.33,50689.078,589.88,70151.288,88.59727974,0.72256803
12/23/2012,747130.71,18911.24,50906.594,700.6,70518.434,94.38567182,0.721890591
12/24/2012,781760.1,18397.73,48952.652,603.05,67953.432,86.92363808,0.720385278
12/25/2012,851476.77,19539.23,52989.727,688.61,73217.567,85.98891899,0.723729689
12/26/2012,863074.93,21957.41,54293.75,716.324,76967.484,89.1782177,0.705411522
12/27/2012,877936.91,22261.44,55423.181,971.49,78656.111,89.5919856,0.70462651
12/28/2012,863376.13,23463.425,50692.853,1234.704,75390.982,87.32113314,0.672399426
12/29/2012,890120.96,24601.8,55201.176,1134.904,80937.88,90.92908002,0.68201905
12/30/2012,818705.76,22416.5,55540.965,493.19,78450.655,95.82277154,0.707973248
12/31/2012,652916.9,19512.8,45688.342,427.77,65628.912,100.5164853,0.696161807
1/1/2013,444688.47,15247.5,33918.279,223.79,49389.569,111.0655489,0.686749848
1/2/2013,464030.85,15953.7,26817.598,354.63,43125.928,92.93763119,0.621843964
1/3/2013,712277.45,19371.37,34003.832,78.93,53454.132,75.04678409,0.636131029
1/4/2013,878079.91,21352.85,51636.887,447.375,73437.112,83.63374582,0.703144304
1/5/2013,941528.34,23983.04,59286.997,1021.48,84291.517,89.52626641,0.703356626
1/6/2013,963349.69,26757.245,63518.354,1180.83,91456.429,94.93585761,0.694520382
1/7/2013,952266.56,27294.26,63407.201,1297.745,91999.206,96.61077041,0.689214655
1/8/2013,957088.9,27114.42,64011.225,3738.84,94864.485,99.11773608,0.674764903
1/9/2013,924607.9,25516.8,66052.522,1890.8,93460.122,101.0808171,0.706745514
1/10/2013,943430.55,26302.5,63100.741,1779.827,91183.068,96.65053564,0.692022569
1/11/2013,938753.93,26999.01,63198.167,2138.611,92335.788,98.35994828,0.684438487
1/12/2013,889192.03,27818.17,57967.288,1395.25,87180.708,98.04485989,0.664909581
1/13/2013,940254.175,28922.99,64268.941,1033.22,94225.151,100.212425,0.682078408
1/14/2013,947375.65,29983.93,63269.047,1419.63,94672.607,99.93143375,0.668293068
1/15/2013,922068.98,28956.13,64527.413,1688.766,95172.309,103.2160403,0.678006173
1/16/2013,921773.82,28054.86,64082.874,2053.364,94191.098,102.1846097,0.68034958
1/17/2013,889273.95,27706.46,63372.209,1325.874,92404.543,103.9100977,0.685812699
1/18/2013,911616.46,26294.835,61116.023,2798.662,90209.52,98.95556296,0.677489726
1/19/2013,939353.85,28062.055,65751.136,1420.7,95233.891,101.3823396,0.690417406
1/20/2013,933518.61,29718.625,65784.497,1400.855,96903.977,103.8050832,0.678862716
1/21/2013,926301.46,27440.085,63130.355,1742.91,92313.35,99.65799903,0.683870264
1/22/2013,963372.04,28465.315,69082.785,1904.982,99453.082,103.2343455,0.694626889
1/23/2013,941384.06,29523.475,67233.371,1654.164,98411.01,104.5386407,0.683189523
1/24/2013,945286.09,28779.4,67027.427,1386.122,97192.949,102.8185541,0.689632609
1/25/2013,930258.98,28695.39,65272.324,2225.03,96192.744,103.4042628,0.678557668
1/26/2013,895183.69,29837.31,61924.023,2185.284,93946.617,104.9467479,0.659140531
1/27/2013,879563.85,28561.895,59817.566,1819.364,90198.825,102.5494909,0.663174559
1/28/2013,897034.03,27682.125,63824.398,1998.65,93505.173,104.2381558,0.682576118
1/29/2013,794911.07,27145.495,56993.93,1665.34,85804.765,107.9425966,0.66422803
1/30/2013,808140.6,25262.735,53745.911,1294.98,80303.626,99.36838466,0.669283738
1/31/2013,822756.95,27161.805,57425.518,738.719,85326.042,103.7074704,0.673012795
2/1/2013,796499.73,25406.595,53463.124,650.24,79519.959,99.83676831,0.672323335
2/2/2013,884553.36,26707.235,57710.435,762.01,85179.68,96.29682487,0.677514109
2/3/2013,854576.65,25687.405,59227.864,1575.75,86491.019,101.2091999,0.68478629
2/4/2013,913239.91,26756.49,58784.535,1660.322,87201.347,95.48569444,0.674124162
2/5/2013,931167.21,28026.375,60641.907,1869.419,90537.701,97.23033632,0.669797293
2/6/2013,879608.96,28679.6,60250.45,1527.02,90457.07,102.8378224,0.666066787
2/7/2013,898201.12,29743.535,62705.607,1622.724,94071.866,104.7336325,0.66657131
2/8/2013,899905.63,28245.29,63659.687,1700.421,93605.398,104.0169045,0.68008564
2/9/2013,830111.59,27516.65,64487.709,1549.138,93553.497,112.6999046,0.68931372
2/10/2013,744285.4,24622.435,55540.926,1371.96,81535.321,109.5484622,0.681188537
2/11/2013,789919.7,25245.11,54484.621,1121.906,80851.637,102.3542482,0.673883956
2/12/2013,900380.3,26306.28,62787.318,1807.283,90900.881,100.9583184,0.690722876
2/13/2013,919599.67,26807.58,67517.352,1395.53,95720.462,104.089274,0.705359654
2/14/2013,924466,27634.68,65891.633,1164.305,94690.618,102.4273667,0.695862319
2/15/2013,891414.72,29386.145,68790.428,1117.294,99293.867,111.3890816,0.692796344
2/16/2013,871935.51,29986.74,63436.42,968.292,94391.452,108.2550841,0.67205683
2/17/2013,896984.96,28479.7,65937.082,847.03,95263.812,106.2044697,0.692152462
2/18/2013,911223.89,27649.43,68225.012,911.322,96785.764,106.2151301,0.704907511
2/19/2013,894315.53,27226.23,67411.541,969.784,95607.555,106.9058423,0.705085921
2/20/2013,903821.56,28519.945,65984.155,800.45,95304.55,105.4462011,0.692350523
2/21/2013,905966.35,30155.71,65888.011,947.111,96990.832,107.0578747,0.679322052
2/22/2013,907108.04,30466.205,65834.606,808.604,97109.415,107.0538577,0.677942566
2/23/2013,901082.7,32224.215,63494.012,709.672,96427.899,107.0133729,0.658461012
2/24/2013,899916.62,32183.45,65004.514,892.26,98080.224,108.9881238,0.662768817
2/25/2013,884704.11,31152.245,65145.315,829.65,97127.21,109.7849653,0.670721572
2/26/2013,875928.52,30127.775,64315.504,804.5,95247.779,108.7392142,0.675244134
2/27/2013,893549.64,29345.42,65937.644,979.94,96263.004,107.7310087,0.684973887
2/28/2013,878145.68,29954.62,64065.482,948.714,94968.816,108.1469945,0.674594932
3/1/2013,818109.7,28579.51,61809.285,1266.6,91655.395,112.0331357,0.674366032
3/2/2013,862768.52,28439.16,62091.885,1305.29,91836.335,106.4437713,0.676114579
3/3/2013,886680.58,27643.29,65511.863,968.33,94123.483,106.1526384,0.696020386
3/4/2013,803783.17,26788.47,63155.908,950.104,90894.482,113.0833356,0.694826645
3/5/2013,670422.38,25425.05,49365.712,788.556,75579.318,112.7338828,0.653164296
3/6/2013,755224.83,25681.21,49036.859,786.504,75504.573,99.97628521,0.649455484
3/7/2013,823158.75,28727.81,54558.328,1113.154,84399.292,102.5310027,0.64643111
3/8/2013,885003.28,29986.085,58781.194,1609.572,90376.851,102.1203571,0.650400997
3/9/2013,883259.66,30787.41,62566.81,1330.414,94684.634,107.1990925,0.660791592
3/10/2013,889414.83,30413.86,61818.262,1251.95,93484.072,105.1073907,0.661270532
3/11/2013,852912.95,31521.66,61567.148,1518.385,94607.193,110.9224488,0.650766036
3/12/2013,844690.5,30014.86,61147.784,1545.552,92708.196,109.7540413,0.65957258
3/13/2013,840726.34,28684.85,61810.843,1553.854,92049.547,109.4881207,0.671495352
3/14/2013,853842.08,29407.63,61636.564,1273.704,92317.898,108.1205766,0.667655626
3/15/2013,828072.92,30035.54,60561.504,881.324,91478.368,110.4713918,0.662030875
3/16/2013,766785.03,28882.5,58971.563,921.226,88775.289,115.7759809,0.664279032
3/17/2013,717979.1,28186.84,50984.707,790.686,79962.233,111.3712544,0.637609845
3/18/2013,730751.84,27910.565,51907.497,1002.722,80820.784,110.5994944,0.642254312
3/19/2013,726887.46,28131.995,48994.619,934.574,78061.188,107.3910231,0.627643779
3/20/2013,727848.68,27347.17,50481.428,1521.214,79349.812,109.019655,0.636188376
3/21/2013,697404.07,26854.41,47544.617,1801.982,76201.009,109.2637859,0.623936843
3/22/2013,690392.87,28956.62,46545.749,952,76454.369,110.7403803,0.608804305
3/23/2013,654373.82,28217.62,45027.959,567.16,73812.739,112.7990405,0.610029645
3/24/2013,650591.85,27848.57,42578.192,1254.12,71680.882,110.1779587,0.593996486
3/25/2013,620050.92,27370.785,41764.122,1549.66,70684.567,113.9980036,0.59085206
3/26/2013,571111.444,26447.065,38149.308,1128.67,65725.043,115.082693,0.580437931
3/27/2013,582658.316,26183.68,34498.361,1461.07,62143.111,106.6544651,0.555143771
3/28/2013,570727.73,24585.92,34818.345,1023.645,60427.91,105.8786998,0.576196413
3/29/2013,525217.24,26588.535,35093.722,933,62615.257,119.217825,0.56046599
3/30/2013,480395.41,27231.265,33728.436,762.9,61722.601,128.4829116,0.546451955
3/31/2013,448142.39,21866.435,30972.363,759.276,53598.074,119.6005448,0.577863358
4/1/2013,393956.48,22559.235,17887.361,758.17,41204.766,104.5921773,0.43410903
4/2/2013,376854.39,23769.255,16505.295,841.35,41115.9,109.1028819,0.401433387
4/3/2013,359631.64,29684.535,11969.593,715.83,42369.958,117.8148786,0.282501885
4/4/2013,321216.61,18050.815,20278.378,749.074,39078.267,121.6570557,0.518917024
4/5/2013,275093.05,24071.165,10677.355,602.89,35351.41,128.5070997,0.30203477
4/6/2013,246527.7,23975.525,9603.576,765.77,34344.871,139.3144503,0.279621839
4/7/2013,215522.25,22108.91,3658.225,750.22,26517.355,123.0376678,0.137955878
4/8/2013,178529.01,23190.52,-209.393,634.22,23615.347,132.2773649,-0.008866819
4/9/2013,150944.13,19441.07,-141.197,634.09,19933.963,132.0618629,-0.007083238
4/10/2013,113966.33,18713.46,-2733.17,772.33,16752.62,146.9962225,-0.163148809
4/11/2013,83410.28,17476.9,-4487.073,339.656,13329.483,159.8062373,-0.336627685
4/12/2013,54079.92,16615.46,-7112.976,723.61,10226.094,189.0922546,-0.695571154
4/13/2013,30580.58,14973.55,-9713.706,1041.1652,6301.0092,206.0460985,-1.541611144
4/14/2013,9977.31,13847.4,-14276.287,709.72,280.833,28.14716592,-50.83550366
4/15/2013,9279.17,13112.15,-13741.891,667.28,37.539,4.045512691,-366.0697142
4/16/2013,16396.17,16468.75,-16329.951,691.02,829.819,50.61053892,-19.67893119
4/17/2013,27929.68,18426.425,-18410.382,1188.3,1204.343,43.12054417,-15.28666003
4/18/2013,33759.95,14162.09,-10542.683,552.5948,4172.0018,123.5784354,-2.527008258
4/19/2013,49738.33,14790.1,-11333.766,482.74,3939.074,79.19594405,-2.877266586
4/20/2013,59698.87,16550.15,-11430.617,637.13,5756.663,96.42834111,-1.985632475
4/21/2013,50846.26,16841.9,-11903.461,502.81,5441.249,107.0137509,-2.187633942
4/22/2013,65156.42,16724.125,-10718.194,458.15,6464.081,99.20865818,-1.65811567
4/23/2013,54087.55,15639.35,-10358.531,99.64,5380.459,99.47684818,-1.925213258
4/24/2013,47445.13,15634.2,-12151.056,454.32,3937.464,82.98984532,-3.086010691
4/25/2013,53703.68,15880.45,-12307.282,749.99,4323.158,80.50021898,-2.846826787
4/26/2013,46112.87,16415.7,-12439.739,845.98,4821.941,104.5682257,-2.579819828
4/27/2013,46203.66,15234.175,-12487.718,663.2,3409.657,73.79625337,-3.662455784
4/28/2013,50562.13,15676.6,-12381.808,787.34,4082.132,80.73496904,-3.033171882
4/29/2013,45675.91,15620.7,-11837.669,753.43,4536.461,99.31845912,-2.609450186
4/30/2013,54742.55,13929.25,-11061.789,1008.913,3876.374,70.81098707,-2.853643379
5/1/2013,47370.79,14425.5,-11320.395,821.41,3926.515,82.88894908,-2.883064244
5/2/2013,35283.08,14071.75,-12209.185,815.86,2678.425,75.91244869,-4.558344923
5/3/2013,32998.04,13839.7,-10797.199,748.22,3790.721,114.8771563,-2.848323314
5/4/2013,22674.82,12020.35,-10095.559,948.78,2873.571,126.7296058,-3.513245018
5/5/2013,24878.77,12051.3,-9456.743,752.36,3346.917,134.5290382,-2.82550867
5/6/2013,16586.76,11439.6,-10503.178,848.7,1785.122,107.6233092,-5.883731196
5/7/2013,13167.57,12208.15,-11960.248,673.77,921.672,69.99560283,-12.97668585
5/8/2013,11146.12,25219.22,-28430.871,1502.47,-1709.181,-153.3431364,16.63420726
5/9/2013,11740.08,39574.74,-41365.561,1965.22,174.399,14.85500951,-237.1892098
5/10/2013,0,0,0,0,0,,
5/11/2013,0,0,0,0,0,,
5/12/2013,0,0,0,0,0,,
5/13/2013,0,13036.48,-14475.732,903.28,-535.972,,27.00837357
5/14/2013,4648.15,12948.69,-13059.36,764.29,653.62,140.6193862,-19.98004957
5/15/2013,0,13188.41,-12789.848,630.01,1028.572,,-12.43456754
5/16/2013,0,0,0,0,0,,
5/17/2013,0,0,0,0,0,,
5/18/2013,0,0,0,0,0,,
5/19/2013,0,0,0,0,0,,
5/20/2013,0,0,0,0,0,,
5/21/2013,0,0,0,0,0,,
5/22/2013,0,0,0,0,0,,
5/23/2013,0,0,0,0,0,,
5/24/2013,0,0,0,0,0,,
5/25/2013,0,0,0,0,0,,
5/26/2013,0,0,0,0,0,,
5/27/2013,0,0,0,0,0,,
5/28/2013,0,0,0,0,0,,
5/29/2013,0,0,0,0,0,,
5/30/2013,0,0,0,0,0,,
5/31/2013,0,0,0,0,0,,
6/1/2013,0,0,0,0,0,,
6/2/2013,0,0,0,0,0,,
6/3/2013,0,0,0,0,0,,
6/4/2013,0,0,0,0,0,,
6/5/2013,0,0,0,0,0,,
6/6/2013,0,0,0,0,0,,
6/7/2013,0,0,0,0,0,,
6/8/2013,0,0,0,0,0,,
6/9/2013,0,0,0,0,0,,
6/10/2013,0,0,0,0,0,,
6/11/2013,0,0,0,0,0,,
6/12/2013,0,0,0,0,0,,
6/13/2013,0,0,0,0,0,,
6/14/2013,0,0,0,0,0,,
6/15/2013,0,0,0,0,0,,
6/16/2013,0,0,0,0,0,,
6/17/2013,0,0,0,0,0,,
6/18/2013,0,0,0,0,0,,
6/19/2013,0,0,0,0,0,,
6/20/2013,0,0,0,0,0,,
6/21/2013,0,0,0,0,0,,
6/22/2013,0,0,0,0,0,,
6/23/2013,0,0,0,0,0,,
6/24/2013,0,0,0,0,0,,
6/25/2013,0,0,0,0,0,,
6/26/2013,0,0,0,0,0,,
6/27/2013,0,0,0,0,0,,
6/28/2013,0,0,0,0,0,,
6/29/2013,0,0,0,0,0,,
6/30/2013,0,0,0,0,0,,
7/1/2013,0,0,0,0,0,,
7/2/2013,0,0,0,0,0,,
7/3/2013,0,0,0,0,0,,
7/4/2013,0,0,0,0,0,,
7/5/2013,0,0,0,0,0,,
7/6/2013,0,0,0,0,0,,
7/7/2013,0,0,0,0,0,,
7/8/2013,0,0,0,0,0,,
7/9/2013,0,0,0,0,0,,
7/10/2013,0,0,0,0,0,,
7/11/2013,0,0,0,0,0,,
7/12/2013,0,0,0,0,0,,
7/13/2013,0,0,0,0,0,,
7/14/2013,0,0,0,0,0,,
7/15/2013,0,0,0,0,0,,
7/16/2013,0,0,0,0,0,,
7/17/2013,0,0,0,0,0,,
7/18/2013,0,0,0,0,0,,
7/19/2013,0,0,0,0,0,,
7/20/2013,0,0,0,0,0,,
7/21/2013,0,0,0,0,0,,
7/22/2013,0,0,0,0,0,,
7/23/2013,0,0,0,0,0,,
7/24/2013,0,0,0,0,0,,
7/25/2013,0,0,0,0,0,,
7/26/2013,0,0,0,0,0,,
7/27/2013,0,0,0,0,0,,
7/28/2013,0,0,0,0,0,,
7/29/2013,0,0,0,0,0,,
7/30/2013,0,0,0,0,0,,
7/31/2013,0,0,0,0,0,,
8/1/2013,0,0,0,0,0,,
11/1/2013,0,0,0,0,0,,
11/2/2013,0,0,0,0,0,,
11/3/2013,0,0,0,0,0,,
11/4/2013,0,0,0,0,0,,
11/5/2013,0,0,0,0,0,,
11/6/2013,0,0,0,0,0,,
11/7/2013,0,0,0,0,0,,
11/8/2013,0,0,0,0,0,,
11/9/2013,0,0,0,0,0,,
11/10/2013,0,0,0,0,0,,
11/11/2013,0,0,0,0,0,,
11/12/2013,0,0,0,0,0,,
11/13/2013,0,0,0,0,0,,
11/14/2013,0,0,0,0,0,,
11/15/2013,0,0,0,0,0,,
11/16/2013,0,0,0,0,0,,
11/17/2013,0,0,0,0,0,,
11/18/2013,0,0,0,0,0,,
11/19/2013,0,0,0,0,0,,
11/20/2013,0,0,0,0,0,,
11/21/2013,0,0,0,0,0,,
11/22/2013,0,0,0,0,0,,
11/23/2013,0,0,0,0,0,,
11/24/2013,0,0,0,0,0,,
11/25/2013,6781.55,0,0,0,0,0,
11/26/2013,17240.19,0,672.28,0,672.28,38.99492987,1
11/27/2013,17519.54,0,1240.96,0,1240.96,70.83291,1
11/28/2013,58498.84,0,1443.91,0,1443.91,24.68271166,1
11/29/2013,101687.05,0,3412.972,0,3412.972,33.56348719,1
11/30/2013,114601.55,0,6310.239,0,6310.239,55.0624228,1
12/1/2013,162932.24,0,8639.967,0,8639.967,53.02797654,1
12/2/2013,233124.76,60,12003.45,0,12063.45,51.74675569,0.995026298
12/3/2013,287718.5,82.5,17177.331,518,17777.831,61.78897429,0.966221976
12/4/2013,316754.39,313.5,20043.982,577,20934.482,66.09058204,0.957462525
12/5/2013,349015.73,884.55,24997.341,502.997,26384.888,75.59799096,0.947411298
12/6/2013,426680.53,2578.045,27882.839,444.503,30905.387,72.4321473,0.902199963
12/7/2013,478857.34,3795.59,30547.217,596.24,34939.047,72.9633736,0.874300235
12/8/2013,520019.635,4991.75,33930.663,590.72,39513.133,75.98392511,0.858718619
12/9/2013,580400.54,6736.885,39821.189,632,47190.074,81.30604772,0.843846717
12/10/2013,638962.21,8665.13,40899.613,801.344,50366.087,78.82482909,0.812046665
12/11/2013,686004.71,8596.88,45981.259,985.05,55563.189,80.99534623,0.827548955
12/12/2013,724307.915,11714.97,54872.266,1037.534,67624.77,93.36467074,0.81142259
12/13/2013,756580.03,10585.77,56491.754,814.67,67892.194,89.73564105,0.832080254
12/14/2013,763995.915,12296.63,56792.891,828.95,69918.471,91.51681263,0.812273069
12/15/2013,765099.17,11801.31,58906.313,818.52,71526.143,93.48610717,0.823563393
12/16/2013,753129.43,12241.36,57452.892,955.85,70650.102,93.80871227,0.813203242
12/17/2013,704007.045,12457.87,55535.463,589.52,68582.853,97.41785041,0.809757258
12/18/2013,749124.23,14340.48,54696.003,822.24,69858.723,93.25385591,0.782951658
12/19/2013,827774.77,14874.71,61433.978,648.24,76956.928,92.96843875,0.798290415
12/20/2013,850618.95,16751.6,63993.6,691.336,81436.536,95.73797527,0.785809455
12/21/2013,925757.475,16615.07,66416.305,801.33,83832.705,90.55579594,0.792248145
12/22/2013,925434.365,17486.72,67371.423,606.7,85464.843,92.35105831,0.788294001
12/23/2013,930640.175,19026.12,67600.176,748.036,87374.332,93.88626705,0.77368461
12/24/2013,975176.605,21365.65,71396.439,810.66,93572.749,95.95466967,0.763004612
12/25/2013,985160.815,22073.95,70663.203,1055.43,93792.583,95.20535284,0.753398624
12/26/2013,989511.6,23916.92,68825.66,1062.96,93805.54,94.79983863,0.733705707
12/27/2013,995377.415,26673.32,73491.361,748.88,100913.561,101.3822089,0.728260506
12/28/2013,966624.88,25187.9,70707.065,1201.98,97096.945,100.4494577,0.728211016
12/29/2013,947988.81,26529.3,68350.792,1532.67,96412.762,101.7024262,0.708939258
12/30/2013,917104.245,26326.4,68002.543,671.18,95000.123,103.5870497,0.715815315
12/31/2013,731199.41,24506.95,60249.899,985.88,85742.729,117.2631266,0.702682311
1/1/2014,501422.34,19481.03,44908.58,464.67,64854.28,129.3406273,0.692453605
1/2/2014,476862.215,18131.78,30705.66,218.29,49055.73,102.8719166,0.625934218
1/3/2014,760788.8,21943.56,43287.219,347.681,65578.46,86.19798294,0.660082884
1/4/2014,953618.695,25775.98,59605.502,513.46,85894.942,90.07262803,0.693934947
1/5/2014,1006631.235,28483.09,71555.936,1144.364,101183.39,100.5168392,0.707190538
1/6/2014,1008579.525,29742.82,74796.692,1308.687,105848.199,104.9477968,0.70664114
1/7/2014,1026662.3,29144.635,75185.841,1206.08,105536.556,102.795784,0.712415146
1/8/2014,1020933.435,30796.97,76962.901,1796.342,109556.213,107.3098492,0.702496909
1/9/2014,998718.635,30245.9,77599.408,1806.404,109651.712,109.7923961,0.70768989
1/10/2014,978348.69,28132.84,73310.962,1744.59,103188.392,105.4719989,0.710457451
1/11/2014,1013489.05,30999.53,74730.76,1293.98,107024.27,105.5998286,0.698259937
1/12/2014,1003858.315,31164.42,72840.838,1349.315,105354.573,104.9496442,0.69138753
1/13/2014,985793.36,32053.79,76070.332,1250.6609,109374.7829,110.9510242,0.695501559
1/14/2014,1008000.745,30861.12,75758.71,741.61,107361.44,106.5092864,0.705641709
1/15/2014,1016517.235,31698.535,76694.687,1596.45,109989.672,108.2024664,0.697289896
1/16/2014,958963.615,29329.31,75668.148,1283.7108,106281.1688,110.8291985,0.711961948
1/17/2014,976712.97,29778.88,74380.301,1171.8757,105331.0567,107.8423856,0.706157361
1/18/2014,1041236.085,32435.9,76830.966,1273.5548,110540.4208,106.1626872,0.695048612
1/19/2014,1041313.853,32548.365,79799.054,1144.38,113491.799,108.9890418,0.70312617
1/20/2014,1025032.805,31601.749,81021.995,960.205,113583.949,110.8100623,0.713322575
1/21/2014,1004284.73,31447.34,79991.147,1305.3788,112743.8658,112.2628498,0.709494449
1/22/2014,1015736.992,31358.26,80911.443,1759.1342,114028.8372,112.2621684,0.709570009
1/23/2014,1002191.39,30837.69,79420.925,1345.823,111604.438,111.3604039,0.711628735
1/24/2014,1004841.68,30180.505,83005.585,1048.634,114234.724,113.684301,0.726623063
1/25/2014,988748.925,31429.39,81994.064,1074.358,114497.812,115.8006943,0.716119047
1/26/2014,988283.405,30923.11,80391.821,1082.74,112397.671,113.7302017,0.715244545
1/27/2014,991715.05,31619.52,78043.418,1392.942,111055.88,111.983659,0.70274008
1/28/2014,964513.09,32629.915,78692.513,1383.492,112705.92,116.8526598,0.698210999
1/29/2014,938711.39,31157.66,75251.261,2412.1464,108821.0674,115.9260115,0.691513719
1/30/2014,794021.775,28217.3,70214.866,1112.025,99544.191,125.3670795,0.705363772
1/31/2014,664734.325,24414.735,58600.486,804.5996,83819.8206,126.0952195,0.69912445
2/1/2014,720572.47,22373.24,54857.042,666.2786,77896.5606,108.1037145,0.704229321
2/2/2014,898790.47,26433.16,62315.142,868.16,89616.462,99.70784626,0.69535374
2/3/2014,962605.26,28075.67,79550.748,-9505.6565,98120.7615,101.9325009,0.81074328
2/4/2014,982823.115,29084.22,76639.216,799.1595,106522.5955,108.3843002,0.719464407
2/5/2014,970986.245,28763.63,82418.504,840.8808,112023.0148,115.3703416,0.735728316
2/6/2014,975091.27,26709.84,77713.963,943.0047,105366.8077,108.0584053,0.737556397
2/7/2014,928384.43,27482.76,80601.478,820.0235,108904.2615,117.3051357,0.740113168
2/8/2014,1001536.135,28829.445,82432.01,656.3098,111917.7648,111.7461077,0.736540889
2/9/2014,991340.08,28854.62,82258.814,741.0991,111854.5331,112.8316461,0.735408854
2/10/2014,1018361.135,29070.06,84485.254,986.5503,114541.8643,112.4766651,0.737592796
2/11/2014,1003190.035,28363.78,87556.932,808.163,116728.875,116.3576899,0.750088031
2/12/2014,994734.4,28457.75,87090.673,780.7964,116329.2194,116.945005,0.748656902
2/13/2014,1008230.92,29573.57,88177.767,575.8947,118327.2317,117.3612407,0.745202653
2/14/2014,1001608.655,28094.3,89381.875,1065.843,118542.018,118.3516311,0.754010068
2/15/2014,989037.78,28095.475,84832.014,958.609,113886.098,115.1483799,0.744884718
2/16/2014,969410.14,25802.735,85421.833,859.5485,112084.1165,115.620945,0.762122553
2/17/2014,997856.34,27543.985,82449.341,1047.1064,111040.4324,111.2789767,0.74251639
2/18/2014,1011405.215,29809.565,86650.312,868.5845,117328.4615,116.005395,0.738527642
2/19/2014,994650.525,29789.75,85432.796,807.2308,116029.7768,116.6538135,0.736300615
2/20/2014,964569.625,29236.24,77037.402,897.1379,107170.7799,111.1073552,0.718828416
2/21/2014,982459.04,30110.91,82808.914,444.043,113363.867,115.3878812,0.730470089
2/22/2014,989906.37,28377.82,85939.933,519.5741,114837.3271,116.0082717,0.748362359
2/23/2014,969082.4,27608.215,89325.624,849.8477,117783.6867,121.5414568,0.758387061
